Row(SubjectArea='Health Sciences', Year=1977, Number_Papers=26, Average_Num_Authors=15.346153846153847, SD_Num_Authors=5.44016402467652, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=30, Average_Num_Aff=8.038461538461538, SD_Num_Aff=1.9074751737471023, Min_Num_Aff=6, Med_Num_Aff=7.5, Max_Num_Aff=11)
Row(SubjectArea='Health Sciences', Year=2004, Number_Papers=4212, Average_Num_Authors=17.500237416904085, SD_Num_Authors=18.858287395882986, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=595, Average_Num_Aff=9.933760683760683, SD_Num_Aff=6.936091191311833, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=231)
Row(SubjectArea='Multidisciplinary', Year=2019, Number_Papers=9183, Average_Num_Authors=87.7181748883807, SD_Num_Authors=360.27578116261714, Min_Num_Authors=11, Med_Num_Authors=17.0, Max_Num_Authors=5207, Average_Num_Aff=19.00642491560492, SD_Num_Aff=35.772905758721166, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=548)
Row(SubjectArea='Physical Sciences', Year=2020, Number_Papers=19871, Average_Num_Authors=49.58265814503548, SD_Num_Authors=248.14736862763456, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=5238, Average_Num_Aff=13.539077046952846, SD_Num_Aff=27.160783741658665, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=492)
Row(SubjectArea='Health Sciences', Year=1987, Number_Papers=224, Average_Num_Authors=19.174107142857142, SD_Num_Authors=15.301485877235882, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=139, Average_Num_Aff=10.482142857142858, SD_Num_Aff=6.368338362882739, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=48)
Row(SubjectArea='Physical Sciences', Year=1996, Number_Papers=1267, Average_Num_Authors=76.38910812943962, SD_Num_Authors=132.73516842406804, Min_Num_Authors=11, Med_Num_Authors=21.0, Max_Num_Authors=554, Average_Num_Aff=13.997632202052092, SD_Num_Aff=12.699435648685634, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=71)
Row(SubjectArea='Life Sciences', Year=1983, Number_Papers=72, Average_Num_Authors=26.055555555555557, SD_Num_Authors=30.89231131331161, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=182, Average_Num_Aff=12.194444444444445, SD_Num_Aff=7.288112816045407, Min_Num_Aff=6, Med_Num_Aff=10.0, Max_Num_Aff=42)
Row(SubjectArea='Physical Sciences', Year=2014, Number_Papers=9179, Average_Num_Authors=81.4016777426735, SD_Num_Authors=345.1669250473932, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=2951, Average_Num_Aff=16.433271598213313, SD_Num_Aff=31.279352532323127, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=254)
Row(SubjectArea='Health Sciences', Year=1983, Number_Papers=118, Average_Num_Authors=24.39830508474576, SD_Num_Authors=27.736593691031015, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=182, Average_Num_Aff=11.372881355932204, SD_Num_Aff=7.372618097374563, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=42)
Row(SubjectArea='Life Sciences', Year=2009, Number_Papers=6237, Average_Num_Authors=17.854898188231523, SD_Num_Authors=16.094760694664874, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=406, Average_Num_Aff=9.532146865480199, SD_Num_Aff=6.675743821705489, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=107)
Row(SubjectArea='Life Sciences', Year=1990, Number_Papers=263, Average_Num_Authors=16.562737642585553, SD_Num_Authors=10.630992217575107, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=93, Average_Num_Aff=9.159695817490494, SD_Num_Aff=3.6441382271492153, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=28)
Row(SubjectArea='Life Sciences', Year=1999, Number_Papers=1252, Average_Num_Authors=15.551916932907348, SD_Num_Authors=10.394982241199497, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=211, Average_Num_Aff=8.516773162939296, SD_Num_Aff=3.591072481809151, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=54)
Row(SubjectArea='Physical Sciences', Year=2006, Number_Papers=4344, Average_Num_Authors=50.82941988950276, SD_Num_Authors=114.44571403006846, Min_Num_Authors=11, Med_Num_Authors=17.0, Max_Num_Authors=1210, Average_Num_Aff=13.060313075506446, SD_Num_Aff=14.697441339975661, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=184)
Row(SubjectArea='Physical Sciences', Year=2017, Number_Papers=12907, Average_Num_Authors=73.92724877973193, SD_Num_Authors=330.4802645077124, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=3583, Average_Num_Aff=15.901371348880453, SD_Num_Aff=32.80567422577456, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=634)
Row(SubjectArea='Social Sciences', Year=2007, Number_Papers=286, Average_Num_Authors=15.996503496503497, SD_Num_Authors=8.987124611587305, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=124, Average_Num_Aff=10.083916083916083, SD_Num_Aff=6.527132578567448, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=88)
Row(SubjectArea='Social Sciences', Year=2013, Number_Papers=846, Average_Num_Authors=16.544917257683217, SD_Num_Authors=26.984277542491057, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=702, Average_Num_Aff=10.122931442080379, SD_Num_Aff=6.258458430717749, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=108)
Row(SubjectArea='Health Sciences', Year=1982, Number_Papers=108, Average_Num_Authors=21.24074074074074, SD_Num_Authors=18.391317725233126, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=113, Average_Num_Aff=11.046296296296296, SD_Num_Aff=7.817287646900214, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=49)
Row(SubjectArea='Social Sciences', Year=2004, Number_Papers=172, Average_Num_Authors=15.279069767441861, SD_Num_Authors=6.105603145708196, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=51, Average_Num_Aff=9.540697674418604, SD_Num_Aff=3.640830118921832, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=23)
Row(SubjectArea='Health Sciences', Year=2020, Number_Papers=44270, Average_Num_Authors=21.083600632482494, SD_Num_Authors=32.217487699680746, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=1809, Average_Num_Aff=11.580347865371584, SD_Num_Aff=12.927820707826053, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=1000)
Row(SubjectArea='Life Sciences', Year=1986, Number_Papers=92, Average_Num_Authors=27.858695652173914, SD_Num_Authors=30.844017897125898, Min_Num_Authors=11, Med_Num_Authors=17.0, Max_Num_Authors=180, Average_Num_Aff=12.75, SD_Num_Aff=7.876275406923902, Min_Num_Aff=6, Med_Num_Aff=10.0, Max_Num_Aff=39)
Row(SubjectArea='Life Sciences', Year=2022, Number_Papers=41818, Average_Num_Authors=19.70003347840643, SD_Num_Authors=27.485117713422923, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=2188, Average_Num_Aff=10.337031900138696, SD_Num_Aff=9.601921813539136, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=479)
Row(SubjectArea='Health Sciences', Year=1989, Number_Papers=291, Average_Num_Authors=25.580756013745706, SD_Num_Authors=25.149268326484307, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=157, Average_Num_Aff=11.75257731958763, SD_Num_Aff=8.164723440004545, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=59)
Row(SubjectArea='Health Sciences', Year=2002, Number_Papers=2545, Average_Num_Authors=17.725343811394893, SD_Num_Authors=17.3211323394432, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=263, Average_Num_Aff=10.066011787819253, SD_Num_Aff=6.563217915796972, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=112)
Row(SubjectArea='Health Sciences', Year=2006, Number_Papers=5881, Average_Num_Authors=17.938105764325794, SD_Num_Authors=21.49717379976371, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=924, Average_Num_Aff=10.161197075327324, SD_Num_Aff=6.795146141458162, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=150)
Row(SubjectArea='Health Sciences', Year=2015, Number_Papers=21906, Average_Num_Authors=20.631014333972427, SD_Num_Authors=39.14244670349184, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=2503, Average_Num_Aff=11.419748014242673, SD_Num_Aff=11.54010190289479, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=514)
Row(SubjectArea='Life Sciences', Year=2014, Number_Papers=13037, Average_Num_Authors=18.80340569149344, SD_Num_Authors=22.655736178120012, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=1144, Average_Num_Aff=10.1067730306052, SD_Num_Aff=8.858599817626844, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=326)
Row(SubjectArea='Physical Sciences', Year=1988, Number_Papers=371, Average_Num_Authors=43.55525606469003, SD_Num_Authors=37.49030927942161, Min_Num_Authors=11, Med_Num_Authors=30.0, Max_Num_Authors=230, Average_Num_Aff=9.814016172506738, SD_Num_Aff=4.320963079554473, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=26)
Row(SubjectArea='Multidisciplinary', Year=2003, Number_Papers=178, Average_Num_Authors=23.15730337078652, SD_Num_Authors=22.12414836122978, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=144, Average_Num_Aff=9.101123595505618, SD_Num_Aff=6.149815015031032, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=64)
Row(SubjectArea='Multidisciplinary', Year=2010, Number_Papers=1035, Average_Num_Authors=23.03574879227053, SD_Num_Authors=30.775402730823476, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=391, Average_Num_Aff=10.514975845410628, SD_Num_Aff=11.756660644546198, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=207)
Row(SubjectArea='Health Sciences', Year=1990, Number_Papers=464, Average_Num_Authors=20.900862068965516, SD_Num_Authors=28.964991144452515, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=525, Average_Num_Aff=10.22198275862069, SD_Num_Aff=7.658213983465644, Min_Num_Aff=6, Med_Num_Aff=8.5, Max_Num_Aff=140)
Row(SubjectArea='Multidisciplinary', Year=1997, Number_Papers=65, Average_Num_Authors=24.23076923076923, SD_Num_Authors=27.478838011486918, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=151, Average_Num_Aff=9.723076923076922, SD_Num_Aff=6.915805476198371, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=41)
Row(SubjectArea='Physical Sciences', Year=2002, Number_Papers=2366, Average_Num_Authors=58.434065934065934, SD_Num_Authors=110.95526633084107, Min_Num_Authors=11, Med_Num_Authors=18.0, Max_Num_Authors=2193, Average_Num_Aff=13.89010989010989, SD_Num_Aff=13.947673710441851, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=178)
Row(SubjectArea='Health Sciences', Year=2018, Number_Papers=30816, Average_Num_Authors=21.977252076843197, SD_Num_Authors=49.78099596985091, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=2965, Average_Num_Aff=11.591283748701972, SD_Num_Aff=17.20894229507722, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=1263)
Row(SubjectArea='Physical Sciences', Year=1979, Number_Papers=135, Average_Num_Authors=26.866666666666667, SD_Num_Authors=17.09839828406734, Min_Num_Authors=11, Med_Num_Authors=20.0, Max_Num_Authors=88, Average_Num_Aff=7.940740740740741, SD_Num_Aff=2.7036817434003697, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=24)
Row(SubjectArea='Multidisciplinary', Year=1993, Number_Papers=40, Average_Num_Authors=16.525, SD_Num_Authors=5.606715295987161, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=33, Average_Num_Aff=7.825, SD_Num_Aff=2.6105063856929345, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=17)
Row(SubjectArea='Physical Sciences', Year=2003, Number_Papers=2766, Average_Num_Authors=50.79934924078091, SD_Num_Authors=96.10062846631003, Min_Num_Authors=11, Med_Num_Authors=18.0, Max_Num_Authors=1158, Average_Num_Aff=13.082791033984092, SD_Num_Aff=13.211754874152408, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=180)
Row(SubjectArea='Physical Sciences', Year=1991, Number_Papers=567, Average_Num_Authors=74.64021164021165, SD_Num_Authors=116.70542636360706, Min_Num_Authors=11, Med_Num_Authors=26.0, Max_Num_Authors=655, Average_Num_Aff=12.10405643738977, SD_Num_Aff=8.570107951519404, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=46)
Row(SubjectArea='Physical Sciences', Year=2010, Number_Papers=6036, Average_Num_Authors=57.727965540092775, SD_Num_Authors=224.7310694453576, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=3221, Average_Num_Aff=14.60205434062293, SD_Num_Aff=21.731547837673073, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=233)
Row(SubjectArea='Multidisciplinary', Year=2004, Number_Papers=240, Average_Num_Authors=35.17916666666667, SD_Num_Authors=170.73916704283928, Min_Num_Authors=11, Med_Num_Authors=17.0, Max_Num_Authors=2644, Average_Num_Aff=10.125, SD_Num_Aff=6.802119408822727, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=53)
Row(SubjectArea='Health Sciences', Year=1996, Number_Papers=1312, Average_Num_Authors=17.330030487804876, SD_Num_Authors=16.06988211568101, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=306, Average_Num_Aff=9.830030487804878, SD_Num_Aff=5.856476709581511, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=131)
Row(SubjectArea='Life Sciences', Year=1988, Number_Papers=166, Average_Num_Authors=19.77710843373494, SD_Num_Authors=17.726329161097198, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=115, Average_Num_Aff=10.204819277108435, SD_Num_Aff=7.722080165884928, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=56)
Row(SubjectArea='Life Sciences', Year=1995, Number_Papers=585, Average_Num_Authors=18.91111111111111, SD_Num_Authors=21.21503480257049, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=238, Average_Num_Aff=9.52991452991453, SD_Num_Aff=5.824447545047609, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=58)
Row(SubjectArea='Physical Sciences', Year=1981, Number_Papers=210, Average_Num_Authors=31.995238095238093, SD_Num_Authors=23.667250224659142, Min_Num_Authors=11, Med_Num_Authors=22.0, Max_Num_Authors=128, Average_Num_Aff=8.138095238095238, SD_Num_Aff=2.781513854186214, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=25)
Row(SubjectArea='Multidisciplinary', Year=1998, Number_Papers=94, Average_Num_Authors=17.840425531914892, SD_Num_Authors=10.481220473431256, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=68, Average_Num_Aff=8.691489361702128, SD_Num_Aff=3.4235949028799237, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=25)
Row(SubjectArea='Multidisciplinary', Year=1978, Number_Papers=14, Average_Num_Authors=16.928571428571427, SD_Num_Authors=6.462486848244742, Min_Num_Authors=11, Med_Num_Authors=15.5, Max_Num_Authors=34, Average_Num_Aff=9.857142857142858, SD_Num_Aff=2.9314512776791277, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=15)
Row(SubjectArea='Multidisciplinary', Year=2013, Number_Papers=2440, Average_Num_Authors=20.539754098360657, SD_Num_Authors=32.92733152065498, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=577, Average_Num_Aff=9.65983606557377, SD_Num_Aff=7.645745665883911, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=119)
Row(SubjectArea='Health Sciences', Year=2001, Number_Papers=2215, Average_Num_Authors=17.601805869074493, SD_Num_Authors=17.885978227452405, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=498, Average_Num_Aff=9.969751693002257, SD_Num_Aff=5.462732959212227, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=68)
Row(SubjectArea='Physical Sciences', Year=1997, Number_Papers=1403, Average_Num_Authors=77.17818959372772, SD_Num_Authors=131.74705981284987, Min_Num_Authors=11, Med_Num_Authors=20.0, Max_Num_Authors=585, Average_Num_Aff=14.24447612259444, SD_Num_Aff=12.95854095409753, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=70)
Row(SubjectArea='Health Sciences', Year=2010, Number_Papers=10397, Average_Num_Authors=17.71770703087429, SD_Num_Authors=28.155771132575822, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=1925, Average_Num_Aff=10.228335096662498, SD_Num_Aff=8.30170050586069, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=380)
Row(SubjectArea='Social Sciences', Year=1993, Number_Papers=26, Average_Num_Authors=21.846153846153847, SD_Num_Authors=30.664236247057982, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=159, Average_Num_Aff=11.653846153846153, SD_Num_Aff=13.681936435146326, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=70)
Row(SubjectArea='Physical Sciences', Year=2012, Number_Papers=7274, Average_Num_Authors=120.65149848776464, SD_Num_Authors=460.39395482638577, Min_Num_Authors=11, Med_Num_Authors=16.0, Max_Num_Authors=3125, Average_Num_Aff=19.394830904591696, SD_Num_Aff=38.09447186530188, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=239)
Row(SubjectArea='Health Sciences', Year=1998, Number_Papers=1724, Average_Num_Authors=18.765081206496518, SD_Num_Authors=30.26215366127451, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=629, Average_Num_Aff=10.296403712296984, SD_Num_Aff=10.366458303097753, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=317)
Row(SubjectArea='Social Sciences', Year=1988, Number_Papers=9, Average_Num_Authors=13.0, SD_Num_Authors=2.5495097567963927, Min_Num_Authors=11, Med_Num_Authors=12.0, Max_Num_Authors=17, Average_Num_Aff=9.0, SD_Num_Aff=2.449489742783178, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=13)
Row(SubjectArea='Health Sciences', Year=1972, Number_Papers=9, Average_Num_Authors=15.333333333333334, SD_Num_Authors=6.164414002968976, Min_Num_Authors=11, Med_Num_Authors=12.0, Max_Num_Authors=29, Average_Num_Aff=10.222222222222221, SD_Num_Aff=2.8625940062196116, Min_Num_Aff=7, Med_Num_Aff=10.0, Max_Num_Aff=17)
Row(SubjectArea='Social Sciences', Year=1975, Number_Papers=3, Average_Num_Authors=13.0, SD_Num_Authors=1.0, Min_Num_Authors=12, Med_Num_Authors=13.0, Max_Num_Authors=14, Average_Num_Aff=9.333333333333334, SD_Num_Aff=3.0550504633038935, Min_Num_Aff=6, Med_Num_Aff=10.0, Max_Num_Aff=12)
Row(SubjectArea='Social Sciences', Year=1976, Number_Papers=5, Average_Num_Authors=17.8, SD_Num_Authors=3.96232255123179, Min_Num_Authors=12, Med_Num_Authors=17.0, Max_Num_Authors=22, Average_Num_Aff=10.4, SD_Num_Aff=4.159326868617084, Min_Num_Aff=6, Med_Num_Aff=10.0, Max_Num_Aff=16)
Row(SubjectArea='Life Sciences', Year=1975, Number_Papers=18, Average_Num_Authors=20.333333333333332, SD_Num_Authors=12.75562159806182, Min_Num_Authors=11, Med_Num_Authors=15.5, Max_Num_Authors=62, Average_Num_Aff=10.444444444444445, SD_Num_Aff=3.973770208907734, Min_Num_Aff=6, Med_Num_Aff=9.0, Max_Num_Aff=19)
Row(SubjectArea='Physical Sciences', Year=1972, Number_Papers=34, Average_Num_Authors=18.970588235294116, SD_Num_Authors=10.025680039256907, Min_Num_Authors=11, Med_Num_Authors=15.0, Max_Num_Authors=50, Average_Num_Aff=8.029411764705882, SD_Num_Aff=4.217462213497785, Min_Num_Aff=6, Med_Num_Aff=7.0, Max_Num_Aff=31)
Row(SubjectArea='Social Sciences', Year=1987, Number_Papers=16, Average_Num_Authors=15.3125, SD_Num_Authors=11.013438760593049, Min_Num_Authors=11, Med_Num_Authors=12.0, Max_Num_Authors=56, Average_Num_Aff=9.1875, SD_Num_Aff=2.286737122335374, Min_Num_Aff=6, Med_Num_Aff=9.5, Max_Num_Aff=13)
Row(SubjectArea='Life Sciences', Year=1974, Number_Papers=9, Average_Num_Authors=12.777777777777779, SD_Num_Authors=1.2018504251546631, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=15, Average_Num_Aff=9.88888888888889, SD_Num_Aff=2.758824226207808, Min_Num_Aff=6, Med_Num_Aff=11.0, Max_Num_Aff=14)
Row(SubjectArea='Life Sciences', Year=1971, Number_Papers=5, Average_Num_Authors=13.8, SD_Num_Authors=4.207136793592526, Min_Num_Authors=11, Med_Num_Authors=12.0, Max_Num_Authors=21, Average_Num_Aff=6.8, SD_Num_Aff=1.7888543819998317, Min_Num_Aff=6, Med_Num_Aff=6.0, Max_Num_Aff=10)
Row(SubjectArea='Multidisciplinary', Year=1974, Number_Papers=3, Average_Num_Authors=15.666666666666666, SD_Num_Authors=6.429100507328636, Min_Num_Authors=11, Med_Num_Authors=13.0, Max_Num_Authors=23, Average_Num_Aff=10.666666666666666, SD_Num_Aff=2.886751345948129, Min_Num_Aff=9, Med_Num_Aff=9.0, Max_Num_Aff=14)
Row(SubjectArea='Social Sciences', Year=1979, Number_Papers=1, Average_Num_Authors=13.0, SD_Num_Authors=None, Min_Num_Authors=13, Med_Num_Authors=13.0, Max_Num_Authors=13, Average_Num_Aff=8.0, SD_Num_Aff=None, Min_Num_Aff=8, Med_Num_Aff=8.0, Max_Num_Aff=8)
Row(SubjectArea='Social Sciences', Year=1970, Number_Papers=2, Average_Num_Authors=14.5, SD_Num_Authors=0.7071067811865476, Min_Num_Authors=14, Med_Num_Authors=14.5, Max_Num_Authors=15, Average_Num_Aff=12.5, SD_Num_Aff=2.1213203435596424, Min_Num_Aff=11, Med_Num_Aff=12.5, Max_Num_Aff=14)
Row(SubjectArea='Multidisciplinary', Year=1970, Number_Papers=4, Average_Num_Authors=14.25, SD_Num_Authors=2.8722813232690143, Min_Num_Authors=11, Med_Num_Authors=14.0, Max_Num_Authors=18, Average_Num_Aff=7.75, SD_Num_Aff=1.5, Min_Num_Aff=6, Med_Num_Aff=8.0, Max_Num_Aff=9)
Row(SubjectArea='Health Sciences', Year=1970, Number_Papers=5, Average_Num_Authors=22.8, SD_Num_Authors=13.026895255585654, Min_Num_Authors=11, Med_Num_Authors=20.0, Max_Num_Authors=44, Average_Num_Aff=14.8, SD_Num_Aff=4.08656334834051, Min_Num_Aff=11, Med_Num_Aff=14.0, Max_Num_Aff=20)
