last,first,middle,TITLE,ORCID,scholar
Attie,Mario,NA,estimating the reproducibility of experimental philosophy,NA,
Beebe,James,NA,estimating the reproducibility of experimental philosophy,NA,
Berniūnas,Renatas,NA,estimating the reproducibility of experimental philosophy,NA,
Colombo,Matteo,NA,estimating the reproducibility of experimental philosophy,NA,
Diaz,Rodrigo,NA,estimating the reproducibility of experimental philosophy,NA,
N’Djaye Nikolai van Dongen,Noah,NA,estimating the reproducibility of experimental philosophy,NA,
Dranseika,Vilius,NA,estimating the reproducibility of experimental philosophy,NA,
Torres,Antonio,Gaitán,estimating the reproducibility of experimental philosophy,NA,
Hannikainen,Ivar,NA,estimating the reproducibility of experimental philosophy,NA,
Hernández-Conde,José,V.,estimating the reproducibility of experimental philosophy,NA,
Hu,Wenjia,NA,estimating the reproducibility of experimental philosophy,NA,
Jaquet,François,NA,estimating the reproducibility of experimental philosophy,NA,
Khalifa,Kareem,NA,estimating the reproducibility of experimental philosophy,NA,
Kim,Hanna,NA,estimating the reproducibility of experimental philosophy,NA,
Kneer,Markus,NA,estimating the reproducibility of experimental philosophy,NA,
Knobe,Joshua,NA,estimating the reproducibility of experimental philosophy,NA,
Kurthy,Miklos,NA,estimating the reproducibility of experimental philosophy,NA,
Liao,Shen-yi,NA,estimating the reproducibility of experimental philosophy,NA,
Machery,Edouard,NA,estimating the reproducibility of experimental philosophy,NA,
Mott,Christian,NA,estimating the reproducibility of experimental philosophy,NA,
Phelan,Mark,NA,estimating the reproducibility of experimental philosophy,NA,
Phillips,Jonathan,NA,estimating the reproducibility of experimental philosophy,NA,
Rambharose,Navin,NA,estimating the reproducibility of experimental philosophy,NA,
Reuter,Kevin,NA,estimating the reproducibility of experimental philosophy,NA,
Romero,Felipe,NA,estimating the reproducibility of experimental philosophy,NA,
Sousa,Paulo,NA,estimating the reproducibility of experimental philosophy,NA,
Sprenger,Jan,NA,estimating the reproducibility of experimental philosophy,NA,
Thalabard,Emile,NA,estimating the reproducibility of experimental philosophy,NA,
Tobia,Kevin,NA,estimating the reproducibility of experimental philosophy,NA,
Wilkenfeld,Daniel,NA,estimating the reproducibility of experimental philosophy,NA,
Zhou,Xiang,NA,estimating the reproducibility of experimental philosophy,NA,
Open Science Collaboration,NA,NA,estimating the reproducibility of psychological science,NA,
Imai,Taisuke,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,0000-0002-0610-8093,
Altmejd,Adam,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,0000-0002-4248-0677,
Rose,Julia,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,0000-0002-9259-826X,
Ho,Teck-Hua,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Huber,Jürgen,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Buttrick,Nick,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Chan,Taizan,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Forsell,Eskil,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Gampa,Anup,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Heikensten,Emma,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Hummer,Lily,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Isaksson,Siri,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Wu,Hang,NA,evaluating the replicability of social science experiments in nature and science between 2010 and 2015,NA,
Díaz-Reviriego,Isabel,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,0000-0002-0665-3833,
Reyes-García,Victoria,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Gallois,Sandrine,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Pyhälä,Aili,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Fernández-Llamazares,�,lvaro,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Galbraith,Eric,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Miñarro,Sara,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Napitupulu,Lucentezza,NA,happy just because a crosscultural study on subjective wellbeing in three indigenous societies,NA,
Gast,Anne,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,0000-0001-5224-2448,UX0_C9EAAAAJ
Balas,Robert,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,0000-0002-1906-216X,_TQn-HcAAAAJ
Unkelbach,Christian,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,0000-0002-3793-6246,NA
Moran,Tal,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,0000-0002-4681-0725,lacj54MAAAAJ
Aust,Frederik,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,8pqcwFcAAAAJ
Heycke,Tobias,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,f_EOpb8AAAAJ
Douglas,Samantha,B.,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,gdLPsSUAAAAJ
Bading,Karoline,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,Gv2qlmUAAAAJ
Mierop,Adrien,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,gzz2MIEAAAAJ
Stahl,Christoph,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,hMOtOAQAAAAJ
Hughes,Sean,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,Jrp7jxYAAAAJ
Gawronski,Bertram,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,l73YtyQAAAAJ
Kurdi,Benedek,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,Ln2O0CoAAAAJ
Vadillo,Miguel,A.,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Benedict,Taylor,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Giménez-Fernández,Tamara,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Hanusz,Krzysztof,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Högden,Fabia,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Hütter,Mandy,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Richter,Jasmin,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Sarzyńska-Wawer,Justyna,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Thomasius,Philine,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
De Houwer,Jan,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,NA
Smith,Colin,Tucker,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,nca6tzcAAAAJ
Ferguson,Melissa,J.,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,Q7UuZOAAAAAJ
Hussey,Ian,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,Sg6JZb0AAAAJ
Fritzlen,Katherine,A.,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,TGD_5T0AAAAJ
Olson,Michael,A.,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,WmkL_csAAAAJ
Corneille,Olivier,NA,incidental attitude formation via the surveillance task a preregistered replication of the olson and fazio 2001 study,NA,XtQdbDIAAAAJ
Bernabeu,Pablo,NA,investigating object orientation effects across 14 languages,NA,
Wang,Kelly,NA,investigating object orientation effects across 14 languages,NA,
Oberzaucher,Elisabeth,NA,investigating object orientation effects across 14 languages,NA,
Liu,Dawn,Xiaodan,investigating object orientation effects across 14 languages,NA,
Protzko,NA,NA,investigating object orientation effects across 14 languages,NA,
Brooks,Beach,NA,investigating variation in replicability a “many labs�  replication project,NA,
Eisner,Matthew,NA,investigating variation in replicability a “many labs�  replication project,NA,
Furrow,David,NA,investigating variation in replicability a “many labs�  replication project,NA,
Hovermale,James,F.,investigating variation in replicability a “many labs�  replication project,NA,
Hunt,S.,Jane,investigating variation in replicability a “many labs�  replication project,NA,
Barry Kappes,Heather,NA,investigating variation in replicability a “many labs�  replication project,NA,
Kurtz,Jaime,NA,investigating variation in replicability a “many labs�  replication project,NA,
Nier,Jason,A.,investigating variation in replicability a “many labs�  replication project,NA,
Smith,Robert,NA,investigating variation in replicability a “many labs�  replication project,NA,
Storbeck,Justin,NA,investigating variation in replicability a “many labs�  replication project,NA,
Van Swol,Lyn,M.,investigating variation in replicability a “many labs�  replication project,NA,
Thompson,Donna,NA,investigating variation in replicability a “many labs�  replication project,NA,
Silberzahn,R.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Uhlmann,E.,L.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Martin,D.,P.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Anselmi,P.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Aust,F.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Awtrey,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Bai,F.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Bannard,C.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Bonnier,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Carlsson,R.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Cheung,F.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Christensen,G.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Clay,R.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Craig,M.,A.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Dalla Rosa,A.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Dam,L.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Evans,M.,H.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Flores Cervantes,I.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Fong,N.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Gamez-Djokic,M.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Glenz,A.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Gordon-McKeon,S.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Heaton,T.,J.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Hederos,K.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Heene,M.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Hofelich Mohr,A.,J.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Högden,F.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Hui,K.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Kalodimos,J.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Kaszubowski,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Kennedy,D.,M.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Lei,R.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Lindsay,T.,A.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Liverani,S.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Madan,C.,R.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Molden,D.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Molleman,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Morey,R.,D.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Mulder,L.,B.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Nijstad,B.,R.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Pope,N.,G.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Pope,B.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Rink,F.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Robusto,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Roderique,H.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Sandberg,A.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Schlüter,E.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Schönbrodt,F.,D.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Sherman,M.,F.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Sommer,S.,A.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Sotak,K.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Spain,S.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Spörlein,C.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Stafford,T.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Stefanutti,L.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Tauber,S.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Vianello,M.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Witkowiak,M.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Yoon,S.,NA,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Nosek,B.,A.,many analysts one data set making transparent how variations in analytic choices affect results,NA,
Klein,Richard,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Hasselman,Fred,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Adams,Byron,G.,many labs 2 investigating variation in replicability across samples and settings,NA,
Adams,Reginald,B.,many labs 2 investigating variation in replicability across samples and settings,NA,
Alper,Sinan,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Axt,Jordan,R.,many labs 2 investigating variation in replicability across samples and settings,NA,
Babalola,Mayowa,T.,many labs 2 investigating variation in replicability across samples and settings,NA,
Batra,Rishtee,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Berkics,Mihály,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Berry,Daniel,R.,many labs 2 investigating variation in replicability across samples and settings,NA,
Bialobrzeska,Olga,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Binan,Evans,Dami,many labs 2 investigating variation in replicability across samples and settings,NA,
Bocian,Konrad,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Brandt,Mark,J.,many labs 2 investigating variation in replicability across samples and settings,NA,
Busching,Robert,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Rédei,Anna,Cabak,many labs 2 investigating variation in replicability across samples and settings,NA,
Cai,Huajian,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Cambier,Fanny,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Carmichael,Cheryl,L.,many labs 2 investigating variation in replicability across samples and settings,NA,
Ceric,Francisco,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Chandler,Jesse,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Chang,Jen-Ho,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Chatard,Armand,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Chen,Eva,E.,many labs 2 investigating variation in replicability across samples and settings,NA,
Cheong,Winnee,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Cicero,David,C.,many labs 2 investigating variation in replicability across samples and settings,NA,
Coen,Sharon,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Coleman,Jennifer,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Collisson,Brian,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Conway,Morgan,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Cushman,Fiery,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Dagona,Zubairu,K.,many labs 2 investigating variation in replicability across samples and settings,NA,
Dalgar,Ilker,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Dalla Rosa,Anna,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Davis,William,E.,many labs 2 investigating variation in replicability across samples and settings,NA,
de Bruijn,Maaike,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
De Schutter,Leander,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Devos,Thierry,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
de Vries,Marieke,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Doğulu,Canay,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Dozo,Nerisa,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Dukes,Kristin,Nicole,many labs 2 investigating variation in replicability across samples and settings,NA,
Dunham,Yarrow,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Durrheim,Kevin,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Eller,Anja,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
English,Alexander,Scott,many labs 2 investigating variation in replicability across samples and settings,NA,
Finck,Carolyn,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Freyre,Miguel-�,ngel,many labs 2 investigating variation in replicability across samples and settings,NA,
Friedman,Mike,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Galliani,Elisa,Maria,many labs 2 investigating variation in replicability across samples and settings,NA,
Gandi,Joshua,C.,many labs 2 investigating variation in replicability across samples and settings,NA,
Ghoshal,Tanuka,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Gill,Tripat,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Gnambs,Timo,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Gómez,�,ngel,many labs 2 investigating variation in replicability across samples and settings,NA,
González,Roberto,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Graham,Jesse,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Grahek,Ivan,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Green,Eva,G. T.,many labs 2 investigating variation in replicability across samples and settings,NA,
Hai,Kakul,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Haigh,Matthew,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Haines,Elizabeth,L.,many labs 2 investigating variation in replicability across samples and settings,NA,
Hall,Michael,P.,many labs 2 investigating variation in replicability across samples and settings,NA,
Heffernan,Marie,E.,many labs 2 investigating variation in replicability across samples and settings,NA,
Hicks,Joshua,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Houdek,Petr,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Huntsinger,Jeffrey,R.,many labs 2 investigating variation in replicability across samples and settings,NA,
Huynh,Ho,Phi,many labs 2 investigating variation in replicability across samples and settings,NA,
Inbar,Yoel,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Innes-Ker,Åse,H.,many labs 2 investigating variation in replicability across samples and settings,NA,
John,Melissa-Sue,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kamiloğlu,Roza,G.,many labs 2 investigating variation in replicability across samples and settings,NA,
Kappes,Heather,Barry,many labs 2 investigating variation in replicability across samples and settings,NA,
Karabati,Serdar,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Karick,Haruna,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kende,Anna,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kervyn,Nicolas,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Knežević,Goran,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kovacs,Carrie,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kurapov,German,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Kurtz,Jamie,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Lakens,Daniël,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Lewis,Neil,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Lipsey,Nikolette,P.,many labs 2 investigating variation in replicability across samples and settings,NA,
Losee,Joy,E.,many labs 2 investigating variation in replicability across samples and settings,NA,
Maassen,Esther,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Maitner,Angela,T.,many labs 2 investigating variation in replicability across samples and settings,NA,
Malingumu,Winfrida,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Mallett,Robyn,K.,many labs 2 investigating variation in replicability across samples and settings,NA,
Marotta,Satia,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Međedović,Janko,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Mena-Pacheco,Fernando,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Milfont,Taciano,L.,many labs 2 investigating variation in replicability across samples and settings,NA,
Morris,Wendy,L.,many labs 2 investigating variation in replicability across samples and settings,NA,
Murphy,Sean,C.,many labs 2 investigating variation in replicability across samples and settings,NA,
Myachykov,Andriy,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Neave,Nick,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Neijenhuijs,Koen,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Nelson,Anthony,J.,many labs 2 investigating variation in replicability across samples and settings,NA,
Neto,Félix,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Lee Nichols,Austin,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Ocampo,Aaron,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
O’Donnell,Susan,L.,many labs 2 investigating variation in replicability across samples and settings,NA,
Oikawa,Haruka,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Oikawa,Masanori,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Ong,Elsie,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Orosz,Gábor,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Osowiecka,Malgorzata,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Packard,Grant,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Pérez-Sánchez,Rolando,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Pilati,Ronaldo,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Pinter,Brad,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Podesta,Lysandra,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Pogge,Gabrielle,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Rutchick,Abraham,M.,many labs 2 investigating variation in replicability across samples and settings,NA,
Saavedra,Patricio,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Saeri,Alexander,K.,many labs 2 investigating variation in replicability across samples and settings,NA,
Salomon,Erika,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Schönbrodt,Felix,D.,many labs 2 investigating variation in replicability across samples and settings,NA,
Sekerdej,Maciej,B.,many labs 2 investigating variation in replicability across samples and settings,NA,
Sirlopú,David,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Skorinko,Jeanine,L. M.,many labs 2 investigating variation in replicability across samples and settings,NA,
Smith,Michael,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Smith-Castro,Vanessa,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Smolders,Karin,C. H. J.,many labs 2 investigating variation in replicability across samples and settings,NA,
Sobkow,Agata,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Sowden,Walter,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Spachtholz,Philipp,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Srivastava,Manini,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Steiner,Troy,G.,many labs 2 investigating variation in replicability across samples and settings,NA,
Stouten,Jeroen,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Street,Chris,N. H.,many labs 2 investigating variation in replicability across samples and settings,NA,
Sundfelt,Oskar,K.,many labs 2 investigating variation in replicability across samples and settings,NA,
Szeto,Stephanie,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Szumowska,Ewa,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Tang,Andrew,C. W.,many labs 2 investigating variation in replicability across samples and settings,NA,
Tanzer,Norbert,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Tear,Morgan,J.,many labs 2 investigating variation in replicability across samples and settings,NA,
Theriault,Jordan,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Torres,David,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Traczyk,Jakub,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Tybur,Joshua,M.,many labs 2 investigating variation in replicability across samples and settings,NA,
Ujhelyi,Adrienn,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
van Aert,Robbie,C. M.,many labs 2 investigating variation in replicability across samples and settings,NA,
van Assen,Marcel,A. L. M.,many labs 2 investigating variation in replicability across samples and settings,NA,
van der Hulst,Marije,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
van Lange,Paul,A. M.,many labs 2 investigating variation in replicability across samples and settings,NA,
van ’t Veer,Anna,Elisabeth,many labs 2 investigating variation in replicability across samples and settings,NA,
Vásquez- Echeverría,Alejandro,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Ann Vaughn,Leigh,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Vázquez,Alexandra,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Vega,Luis,Diego,many labs 2 investigating variation in replicability across samples and settings,NA,
Verniers,Catherine,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Verschoor,Mark,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Voermans,Ingrid,P. J.,many labs 2 investigating variation in replicability across samples and settings,NA,
Welch,Cheryl,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Williams,Lisa,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Woodzicka,Julie,A.,many labs 2 investigating variation in replicability across samples and settings,NA,
Wronska,Marta,K.,many labs 2 investigating variation in replicability across samples and settings,NA,
Young,Liane,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Zelenski,John,M.,many labs 2 investigating variation in replicability across samples and settings,NA,
Zhijia,Zeng,NA,many labs 2 investigating variation in replicability across samples and settings,NA,
Capaldi,Colin,A.,many labs 3 evaluating participant pool quality across the academic semester via replication,0000-0001-7168-7047,
Chung,Joanne,M.,many labs 3 evaluating participant pool quality across the academic semester via replication,0000-0002-2191-9644,
van Allen,Zack,NA,many labs 3 evaluating participant pool quality across the academic semester via replication,0000-0002-5778-6441,
Honeycutt,Nathan,NA,many labs 3 evaluating participant pool quality across the academic semester via replication,0000-0002-6529-130X,
Atherton,Olivia,E.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Belanger,Aimee,L.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Skulborstad,Hayley,M.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Allen,Jill,M.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Banks,Jonathan,B.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Brown,Elizabeth,R.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Budiman,Nancy,I.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Cairo,Athena,H.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Conway,John,G.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
Fletcher,Melody,M.,many labs 3 evaluating participant pool quality across the academic semester via replication,NA,
