"last","first","middle","TITLE","ORCID"
"Nosek","Brian","A.","investigating variation in replicability a many labs replication project",NA
"Jones","Benedict","C.","to which world regions does the valencedominance model of social perception apply",NA
"DeBruine","Lisa","M.","to which world regions does the valencedominance model of social perception apply",NA
"Flake","Jessica","K.","to which world regions does the valencedominance model of social perception apply",NA
"Liuzza","Marco","Tullio","to which world regions does the valencedominance model of social perception apply",NA
"Antfolk","Jan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Arinze","Nwadiogo","C.","to which world regions does the valencedominance model of social perception apply",NA
"Ndukaihe","Izuchukwu","L. G.","to which world regions does the valencedominance model of social perception apply",NA
"Bloxsom","Nicholas","G.","to which world regions does the valencedominance model of social perception apply",NA
"Lewis","Savannah","C.","to which world regions does the valencedominance model of social perception apply",NA
"Foroni","Francesco",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Willis","Megan","L.","to which world regions does the valencedominance model of social perception apply",NA
"Cubillas","Carmelo","P.","to which world regions does the valencedominance model of social perception apply",NA
"Vadillo","Miguel","A.","to which world regions does the valencedominance model of social perception apply",NA
"Turiegano","Enrique",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Gilead","Michael",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Simchon","Almog",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Saribay","S.","Adil","to which world regions does the valencedominance model of social perception apply",NA
"Owsley","Nicholas","C.","to which world regions does the valencedominance model of social perception apply",NA
"Jang","Chaning",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Mburu","Georgina",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Calvillo","Dustin","P.","to which world regions does the valencedominance model of social perception apply",NA
"Wlodarczyk","Anna",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Qi","Yue",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ariyabuddhiphongs","Kris",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Jarukasemthawee","Somboon",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Manley","Harry",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Suavansri","Panita",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Taephant","Nattasuda",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Stolier","Ryan","M.","to which world regions does the valencedominance model of social perception apply",NA
"Evans","Thomas","R.","to which world regions does the valencedominance model of social perception apply",NA
"Bonick","Judson",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Lindemans","Jan","W.","to which world regions does the valencedominance model of social perception apply",NA
"Ashworth","Logan","F.","to which world regions does the valencedominance model of social perception apply",NA
"Hahn","Amanda","C.","to which world regions does the valencedominance model of social perception apply",NA
"Chevallier","Coralie",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kapucu","Aycan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Karaaslan","Aslan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Leongómez","Juan","David","to which world regions does the valencedominance model of social perception apply",NA
"Sánchez","Oscar","R.","to which world regions does the valencedominance model of social perception apply",NA
"Valderrama","Eugenio",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Vásquez-Amézquita","Milena",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Hajdu","Nandor",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Aczel","Balazs",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Szecsi","Peter",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Andreychik","Michael",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Musser","Erica","D.","to which world regions does the valencedominance model of social perception apply",NA
"Batres","Carlota",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Hu","Chuan-Peng",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Liu","Qing-Lan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Legate","Nicole",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Vaughn","Leigh","Ann","to which world regions does the valencedominance model of social perception apply",NA
"Barzykowski","Krystian",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Golik","Karolina",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Schmid","Irina",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Stieger","Stefan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Artner","Richard",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Mues","Chiel",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Vanpaemel","Wolf",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Jiang","Zhongqing",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Wu","Qi",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Marcu","Gabriela","M.","to which world regions does the valencedominance model of social perception apply",NA
"Stephen","Ian","D.","to which world regions does the valencedominance model of social perception apply",NA
"Lu","Jackson","G.","to which world regions does the valencedominance model of social perception apply",NA
"Philipp","Michael","C.","to which world regions does the valencedominance model of social perception apply",NA
"Arnal","Jack","D.","to which world regions does the valencedominance model of social perception apply",NA
"Hehman","Eric",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Xie","Sally","Y.","to which world regions does the valencedominance model of social perception apply",NA
"Chopik","William","J.","to which world regions does the valencedominance model of social perception apply",NA
"Seehuus","Martin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Azouaghe","Soufian",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Belhaj","Abdelkarim",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Elouafa","Jamal",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Wilson","John","P.","to which world regions does the valencedominance model of social perception apply",NA
"Kruse","Elliott",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Papadatou-Pastou","Marietta",NA,"to which world regions does the valencedominance model of social perception apply",NA
"De La Rosa-Gómez","Anabel",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Barba-Sánchez","Alan","E.","to which world regions does the valencedominance model of social perception apply",NA
"González-Santoyo","Isaac",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Hsu","Tsuyueh",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kung","Chun-Chia",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Wang","Hsiao-Hsin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Freeman","Jonathan","B.","to which world regions does the valencedominance model of social perception apply",NA
"Oh","Dong","Won","to which world regions does the valencedominance model of social perception apply",NA
"Schei","Vidar",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sverdrup","Therese","E.","to which world regions does the valencedominance model of social perception apply",NA
"Cook","Corey","L.","to which world regions does the valencedominance model of social perception apply",NA
"Chandel","Priyanka",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kujur","Pratibha",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Parganiha","Arti",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Parveen","Noorshama",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Pati","Atanu","Kumar","to which world regions does the valencedominance model of social perception apply",NA
"Pradhan","Sraddha",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Singh","Margaret","M.","to which world regions does the valencedominance model of social perception apply",NA
"Pande","Babita",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Bavolar","Jozef",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kačmár","Pavol",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Zakharov","Ilya",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Álvarez-Solas","Sara",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Baskin","Ernest",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Thirkettle","Martin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Christopherson","Cody","D.","to which world regions does the valencedominance model of social perception apply",NA
"Leonis","Trinity",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Suchow","Jordan","W.","to which world regions does the valencedominance model of social perception apply",NA
"Olofsson","Jonas","K.","to which world regions does the valencedominance model of social perception apply",NA
"Jernsäther","Teodor",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Lee","Ai-Suan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Beaudry","Jennifer","L.","to which world regions does the valencedominance model of social perception apply",NA
"Gogan","Taylor","D.","to which world regions does the valencedominance model of social perception apply",NA
"Oldmeadow","Julian","A.","to which world regions does the valencedominance model of social perception apply",NA
"Balas","Benjamin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Stevens","Laura","M.","to which world regions does the valencedominance model of social perception apply",NA
"Colloff","Melissa","F.","to which world regions does the valencedominance model of social perception apply",NA
"Flowe","Heather","D.","to which world regions does the valencedominance model of social perception apply",NA
"Gülgöz","Sami",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Hoyer","Karlijn",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Jaeger","Bastian",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ren","Dongning",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sleegers","Willem","W. A.","to which world regions does the valencedominance model of social perception apply",NA
"Wissink","Joeri",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kaminski","Gwenaël",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Floerke","Victoria","A.","to which world regions does the valencedominance model of social perception apply",NA
"Urry","Heather","L.","to which world regions does the valencedominance model of social perception apply",NA
"Chen","Sau-Chin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Pfuhl","Gerit",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Vally","Zahir",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Basnight-Brown","Dana","M.","to which world regions does the valencedominance model of social perception apply",NA
"Jzerman","Hans","I.","to which world regions does the valencedominance model of social perception apply",NA
"Sarda","Elisa",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Neyroud","Lison",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Badidi","Touhami",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Van der Linden","Nicolas",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Tan","Chrystalle","B. Y.","to which world regions does the valencedominance model of social perception apply",NA
"Kovic","Vanja",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sampaio","Waldir",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ferreira","Paulo",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Santos","Diana",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Burin","Debora","I.","to which world regions does the valencedominance model of social perception apply",NA
"Gardiner","Gwendolyn",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Protzko","John",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Schild","Christoph",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ścigała","Karolina","A.","to which world regions does the valencedominance model of social perception apply",NA
"Zettler","Ingo",NA,"to which world regions does the valencedominance model of social perception apply",NA
"O’Mara Kunz","Erin","M.","to which world regions does the valencedominance model of social perception apply",NA
"Storage","Daniel",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Wagemans","Fieke","M. A.","to which world regions does the valencedominance model of social perception apply",NA
"Saunders","Blair",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sirota","Miroslav",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sloane","Guyan","V.","to which world regions does the valencedominance model of social perception apply",NA
"Lima","Tiago","J. S.","to which world regions does the valencedominance model of social perception apply",NA
"Uittenhove","Kim",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Vergauwe","Evie",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Jaworska","Katarzyna",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Stern","Julia",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ask","Karl",NA,"to which world regions does the valencedominance model of social perception apply",NA
"van Zyl","Casper","J. J.","to which world regions does the valencedominance model of social perception apply",NA
"Körner","Anita",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Weissgerber","Sophia","C.","to which world regions does the valencedominance model of social perception apply",NA
"Boudesseul","Jordane",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ruiz-Dodobara","Fernando",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ritchie","Kay","L.","to which world regions does the valencedominance model of social perception apply",NA
"Michalak","Nicholas","M.","to which world regions does the valencedominance model of social perception apply",NA
"Blake","Khandis","R.","to which world regions does the valencedominance model of social perception apply",NA
"White","David",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Gordon-Finlayson","Alasdair","R.","to which world regions does the valencedominance model of social perception apply",NA
"Anne","Michele",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Janssen","Steve","M. J.","to which world regions does the valencedominance model of social perception apply",NA
"Lee","Kean","Mun","to which world regions does the valencedominance model of social perception apply",NA
"Nielsen","Tonje","K.","to which world regions does the valencedominance model of social perception apply",NA
"Tamnes","Christian","K.","to which world regions does the valencedominance model of social perception apply",NA
"Zickfeld","Janis","H.","to which world regions does the valencedominance model of social perception apply",NA
"Rosa","Anna","Dalla","to which world regions does the valencedominance model of social perception apply",NA
"Kocsor","Ferenc",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Kozma","Luca",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Putz","Ádám",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Tressoldi","Patrizio",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Irrazabal","Natalia",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Chatard","Armand",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Lins","Samuel",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Pinto","Isabel","R.","to which world regions does the valencedominance model of social perception apply",NA
"Lutz","Johannes",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Adamkovic","Matus",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Babincak","Peter",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Baník","Gabriel",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Ropovik","Ivan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Coetzee","Vinet",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Dixson","Barnaby","J. W.","to which world regions does the valencedominance model of social perception apply",NA
"Ribeiro","Gianni",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Peters","Kim",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Steffens","Niklas","K.","to which world regions does the valencedominance model of social perception apply",NA
"Tan","Kok","Wei","to which world regions does the valencedominance model of social perception apply",NA
"Thorstenson","Christopher","A.","to which world regions does the valencedominance model of social perception apply",NA
"Fernandez","Ana","Maria","to which world regions does the valencedominance model of social perception apply",NA
"Hsu","Rafael","M. C. S.","to which world regions does the valencedominance model of social perception apply",NA
"Valentova","Jaroslava","V.","to which world regions does the valencedominance model of social perception apply",NA
"Varella","Marco","A. C.","to which world regions does the valencedominance model of social perception apply",NA
"Corral-Frías","Nadia","S.","to which world regions does the valencedominance model of social perception apply",NA
"Frías-Armenta","Martha",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Hatami","Javad",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Monajem","Arash",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Sharifian","MohammadHasan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Frohlich","Brooke",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Lin","Hause",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Inzlicht","Michael",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Alaei","Ravin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Rule","Nicholas","O.","to which world regions does the valencedominance model of social perception apply",NA
"Lamm","Claus",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Pronizius","Ekaterina",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Voracek","Martin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Olsen","Jerome",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Giolla","Erik","Mac","to which world regions does the valencedominance model of social perception apply",NA
"Akgoz","Aysegul",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Özdoğru","Asil","A.","to which world regions does the valencedominance model of social perception apply",NA
"Crawford","Matthew","T.","to which world regions does the valencedominance model of social perception apply",NA
"Bennett-Day","Brooke",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Koehn","Monica","A.","to which world regions does the valencedominance model of social perception apply",NA
"Okan","Ceylan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Gill","Tripat",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Miller","Jeremy","K.","to which world regions does the valencedominance model of social perception apply",NA
"Dunham","Yarrow",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Yang","Xin",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Alper","Sinan",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Borras-Guevara","Martha","Lucia","to which world regions does the valencedominance model of social perception apply",NA
"Cai","Sun","Jun","to which world regions does the valencedominance model of social perception apply",NA
"Tiantian","Dong",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Danvers","Alexander","F.","to which world regions does the valencedominance model of social perception apply",NA
"Feinberg","David","R.","to which world regions does the valencedominance model of social perception apply",NA
"Armstrong","Marie","M.","to which world regions does the valencedominance model of social perception apply",NA
"Gilboa-Schechtman","Eva",NA,"to which world regions does the valencedominance model of social perception apply",NA
"McCarthy","Randy","J.","to which world regions does the valencedominance model of social perception apply",NA
"Muñoz-Reyes","Jose","Antonio","to which world regions does the valencedominance model of social perception apply",NA
"Polo","Pablo",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Shiramazu","Victor","K. M.","to which world regions does the valencedominance model of social perception apply",NA
"Yan","Wen-Jing",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Carvalho","Lilian",NA,"to which world regions does the valencedominance model of social perception apply",NA
"Forscher","Patrick","S.","to which world regions does the valencedominance model of social perception apply",NA
"Chartier","Christopher","R.","to which world regions does the valencedominance model of social perception apply",NA
"Coles","Nicholas","A.","to which world regions does the valencedominance model of social perception apply",NA
"Morey","Richard","D.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Kaschak","Michael","P.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Díez-Álamo","Antonio","M.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Glenberg","Arthur","M.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Zwaan","Rolf","A.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Lakens","Daniël",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Ibáñez","Agustín",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"García","Adolfo",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Gianelli","Claudia",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Jones","John","L.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Madden","Julie",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Alifano","Florencia",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Bergen","Benjamin",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Bub","Daniel","N.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Cai","Zhenguang","G.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Chatterjee","Anjan",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Conwell","Erin",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Cook","Susan","Wagner","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Davis","Joshua","D.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Evers","Ellen","R. K.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Girard","Sandrine",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Harter","Derek",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Hartung","Franziska",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Herrera","Eduar",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Huettig","Falk",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Humphries","Stacey",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Juanchich","Marie",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Kühne","Katharina",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Lu","Shulan",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Lynes","Tom",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Masson","Michael","E. J.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Ostarek","Markus",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Pessers","Sebastiaan",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Reglin","Rebecca",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Steegen","Sara",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Thiessen","Erik","D.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Thomas","Laura","E.","a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Trott","Sean",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Vandekerckhove","Joachim",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Vlachou","Maria",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Williams","Kristina",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Ziv-Crispel","Noam",NA,"a preregistered multilab nonreplication of the actionsentence compatibility effect ace",NA
"Gervais","Will",NA,"a multisite collaborative study of the hostile priming effect",NA
"Al-Kire","Rosemary","L.","a multisite collaborative study of the hostile priming effect",NA
"Aveyard","Mark",NA,"a multisite collaborative study of the hostile priming effect",NA
"Marcella Baraldo","Silvia",NA,"a multisite collaborative study of the hostile priming effect",NA
"Baruh","Lemi",NA,"a multisite collaborative study of the hostile priming effect",NA
"Basch","Charlotte",NA,"a multisite collaborative study of the hostile priming effect",NA
"Baumert","Anna",NA,"a multisite collaborative study of the hostile priming effect",NA
"Behler","Anna",NA,"a multisite collaborative study of the hostile priming effect",NA
"Bettencourt","Ann",NA,"a multisite collaborative study of the hostile priming effect",NA
"Bitar","Adam",NA,"a multisite collaborative study of the hostile priming effect",NA
"Bouxom","Hugo",NA,"a multisite collaborative study of the hostile priming effect",NA
"Buck","Ashley",NA,"a multisite collaborative study of the hostile priming effect",NA
"Chekroun","Peggy",NA,"a multisite collaborative study of the hostile priming effect",NA
"Chen","Jacqueline","M.","a multisite collaborative study of the hostile priming effect",NA
"del Fresno- Díaz","Ángel",NA,"a multisite collaborative study of the hostile priming effect",NA
"Ducham","Alec",NA,"a multisite collaborative study of the hostile priming effect",NA
"Edlund","John","E.","a multisite collaborative study of the hostile priming effect",NA
"ElBassiouny","Amanda",NA,"a multisite collaborative study of the hostile priming effect",NA
"Ewell","Patrick","J.","a multisite collaborative study of the hostile priming effect",NA
"Fuglestad","Paul","T.","a multisite collaborative study of the hostile priming effect",NA
"Hauck","Lauren",NA,"a multisite collaborative study of the hostile priming effect",NA
"Hawk","Christopher","E.","a multisite collaborative study of the hostile priming effect",NA
"Hermann","Anthony","D.","a multisite collaborative study of the hostile priming effect",NA
"Hines","Bryon",NA,"a multisite collaborative study of the hostile priming effect",NA
"Irumva","Mukunzi",NA,"a multisite collaborative study of the hostile priming effect",NA
"Jordan","Lauren","N.","a multisite collaborative study of the hostile priming effect",NA
"Haley","Catherine",NA,"a multisite collaborative study of the hostile priming effect",NA
"Kezer","Murat",NA,"a multisite collaborative study of the hostile priming effect",NA
"Körner","Robert",NA,"a multisite collaborative study of the hostile priming effect",NA
"Kosaka","Muriel",NA,"a multisite collaborative study of the hostile priming effect",NA
