"title","author","journal","number","cites","year","cid","pubid","scholar"
"effects of transient loss of vision on head and eye movements during visual search in a virtual environment","E David, J Beitner, MLH Võ","Brain Sciences","10 (11), 841",6,2020,"14754665081937234537,12963903204123108987,13769587400170827615","YsMSGLbcyi4C","9b55074AAAAJ&hl=en&oi=sra"
"network models to organize a dispersed literature  the case of misunderstanding analysis of covariance","K Derks, J Burger, J van Doorn, JJ Kossakowski, D Matzke, L Atticciati, ...","Journal of European Psychology Students","9 (1)",5,2018,"15733705112440077461","2osOgNQ5qMEC","9b55074AAAAJ&hl=en&oi=sra"
"the importance of peripheral vision when searching 3d real world scenes  a gaze contingent study in virtual reality","EJ David, J Beitner, MLH Võ","Journal of Vision","21 (7), 3-3",4,2021,"13843628330739290130","3fE2CSJIrl8C","9b55074AAAAJ&hl=en&oi=sra"
"promoting open science  a holistic approach to changing behaviour","SG Robson, MA Baum, JL Beaudry, J Beitner, H Brohmer, JM Chin, ...","Collabra: Psychology","7 (1), 30137",3,2021,"17644020605834464052,16590006228726203130","M3ejUd6NZC8C","9b55074AAAAJ&hl=en&oi=sra"
"get your guidance going  investigating the activation of spatial priors for efficient search in virtual reality","J Beitner, J Helbing, D Draschkow, MLH Võ","Brain Sciences","11 (1), 44",3,2021,"12921797168950049963,15805046054007350580","WF5omc3nYNoC","9b55074AAAAJ&hl=en&oi=sra"
"random values from uncertainty intervals are as informative as point estimates in visual working memory","S Czoschke, J Beitner","Journal of Vision","21 (9), 2422-2422",0,2021,NA,"ULOm3_A8WrAC","9b55074AAAAJ&hl=en&oi=sra"
"scene grammar guidance affects both visual search and incidental object memory","J Beitner, J Helbing, D Draschkow, MLH Vo","Journal of Vision","21 (9), 2150-2150",0,2021,NA,"Zph67rFs4hoC","9b55074AAAAJ&hl=en&oi=sra"
"investigating the activation of scene grammar for efficient search in virtual reality","J Beitner, J Helbing, D Draschkow, MLH Vo","Journal of Vision","20 (11), 710-710",0,2020,NA,"W7OEmFMy1HYC","9b55074AAAAJ&hl=en&oi=sra"
"the role of central and peripheral vision for search in vr environments","E David, J Beitner, M Vo","Journal of Vision","20 (11), 1101-1101",0,2020,NA,"Y0pCki6q_DkC","9b55074AAAAJ&hl=en&oi=sra"
"offene wissenschaft in der zeit von covid 19 eine blaupause für die psychologische forschung ","J Beitner, G Brod, B Gagl, D Kraft, M Schultze","PsyArXiv","",0,2020,NA,"IjCSPb-OGe4C","9b55074AAAAJ&hl=en&oi=sra"
"no difference in object memory after searching dynamic 3d and vr environments","J Beitner, J Helbing, D Draschkow, MLH Võ","PERCEPTION","48, 158-158",0,2019,NA,"UeHWp8X0CEIC","9b55074AAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","K Wang, A Goldenberg, CA Dorison, JK Miller, A Uusberg, JS Lerner, ...","Nature Human Behaviour","5 (8), 1089-1110",16,2021,"1378911620228167506","_FxGoFyzp5QC","wGG4moQAAAAJ&hl=en&oi=sra"
"a global experiment on motivating social distancing during the covid 19 pandemic","N Legate, TT Nguyen, N Weinstein, AC Moller, L Legault, MR Maniaci, ...","","",8,2021,"9460422159397258094","LkGwnXOMwfcC","wGG4moQAAAAJ&hl=en&oi=sra"
"porównywalność danych sondażowych zebranych w różnych krajach","G Wieczorkowska-Wierzbińska, J Wierzbiński, AO Kuźmińska","Psychologia Społeczna","2 (29), 128-143",6,2014,"3033196415492621","u5HHmVD_uO8C","wGG4moQAAAAJ&hl=en&oi=sra"
"konsekwencje wyboru typu skali odpowiedzi w badaniach ankietowych","J Wierzbiński, AO Kuźmińska, G Król","Problemy Zarządzania","113-136",5,2014,"12206609324739030907","eQOLeE2rZwMC","wGG4moQAAAAJ&hl=en&oi=sra"
"market mindset impacts moral decisions  the exposure to market relationships makes moral choices more utilitarian by means of proportional thinking","T Zaleskiewicz, A Gasiorowska, AO Kuzminska, P Korotusz, P Tomczak","European Journal of Social Psychology","50 (7), 1500-1522",3,2020,"3261927383152218615","2osOgNQ5qMEC","wGG4moQAAAAJ&hl=en&oi=sra"
"the impact of explicit and implicit power motivation on educational choices","N Maliszewski, AO Kuźmińska, G Wieczorkowska-Wierzbińska, ...","Polish Psychological Bulletin","",3,2014,"1592516422100448563","u-x6o8ySG0sC","wGG4moQAAAAJ&hl=en&oi=sra"
"the divergent effects of money priming on interpersonal trust","AO Kuzminska, A Gasiorowska, T Zaleskiewicz, KD Vohs","Working paper]. Retrieved from http://www. wz. uw. edu. pl/pracownicyFiles …","",2,2017,"10139021612348011122","W7OEmFMy1HYC","wGG4moQAAAAJ&hl=en&oi=sra"
"the effect of overflow at workplace on employees productivity and well being","K Nowak, AO Kuzminska, KK Kowalczyk","Economic and Social Development: Book of Proceedings","322-331",1,2018,"2923432936225317363","9yKSN-GCB0IC","wGG4moQAAAAJ&hl=en&oi=sra"
"problems with measurement of trust and trustworthiness  what best predicts trust game outcomes ","AO Kuźmińska","Studia i Materiały","119-130",1,2016,"4824116999770576133","IjCSPb-OGe4C","wGG4moQAAAAJ&hl=en&oi=sra"
"third variable effects in management studies","AO Kuźmińska","Problemy Zarządzania","14 (2 (60)), 147-159",1,2016,"2630899426848266232","d1gkVwhDpl0C","wGG4moQAAAAJ&hl=en&oi=sra"
"market mindset hinders interpersonal trust  the exposure to market relationships makes people trust less through elevated proportional thinking and reduced state empathy","AO Kuzminska, A Gasiorowska, T Zaleskiewicz","PsyArXiv","",0,2022,NA,"5nxA0vEk-isC","wGG4moQAAAAJ&hl=en&oi=sra"
"situational factors shape moral judgments in the trolley dilemma in eastern  southern  and western countries in a culturally diverse sample","B Bago, M Kovacs, J Protzko, T Nagy, Z Kekecs, B Palfi, M Adamkovic, ...","Nature Human Behaviour, In Press","",0,2022,NA,"hqOjcs7Dif8C","wGG4moQAAAAJ&hl=en&oi=sra"
"perceptions of emotional functionality  similarities and differences among dignity  face  and honor cultures","AT Maitner, J DeCoster, PA Andersson, K Eriksson, S Sherbaji, ...","Journal of Cross-Cultural Psychology","00220221211065108",0,2022,NA,"UebtZRa9Y70C","wGG4moQAAAAJ&hl=en&oi=sra"
"lider czy liderka  konsekwencje stosowania feminatywów dla postrzegania przywództwa","AO Kuźmińska","Studia i Materiały","35 (2), 17-31",0,2021,NA,"0EnyYjriUFMC","wGG4moQAAAAJ&hl=en&oi=sra"
"decision making in early internationalization  a structured expert judgement approach","M Zdziarski, GF Nane, G Król, K Kowalczyk, AO Kuźmińska","Expert Judgement in Risk and Decision Analysis","503-520",0,2021,NA,"Y0pCki6q_DkC","wGG4moQAAAAJ&hl=en&oi=sra"
"who doesn t want to share leadership  the role of personality  control preferences  and political orientation in preferences for shared vs  focused leadership in teams","AO Kuzminska, D Schulze, A Koval","MANAGEMENT CHALLENGES","11",0,2019,NA,"WF5omc3nYNoC","wGG4moQAAAAJ&hl=en&oi=sra"
"management challenges","A KUŹMIŃSKA","","",0,2019,NA,"zYLM7Y9cAGgC","wGG4moQAAAAJ&hl=en&oi=sra"
"the impact of control preferences fit between employees and their supervisors on employee job satisfaction","AO Kuzminska, D Pazura","Studia i Materiały/Wydział Zarządzania. Uniwersytet Warszawski","18-32",0,2018,NA,"UeHWp8X0CEIC","wGG4moQAAAAJ&hl=en&oi=sra"
"psychologiczne następstwa wykonywania funkcji kierowniczych konsekwencje dla zarządzania kadrami","A Kuźmińska","","",0,2016,NA,"qjMakFHDy7sC","wGG4moQAAAAJ&hl=en&oi=sra"
"comparability problems of international survey data  the example of japan and italy","J Wierzbiński, AO Kuźmińska","Problemy Zarządzania","102-116",0,2016,NA,"YsMSGLbcyi4C","wGG4moQAAAAJ&hl=en&oi=sra"
"konsekwencje aktywizacji kategorii związanych z władzą i pieniędzmi","AO Kuźmińska","Problemy Zarządzania","66-80",0,2014,NA,"Tyk-4Ss8FVUC","wGG4moQAAAAJ&hl=en&oi=sra"
"risk of unintentional injuries in children and adolescents with adhd and the impact of adhd medications  a systematic review and meta analysis","M Ruiz-Goikoetxea, S Cortese, M Aznarez-Sanado, S Magallón, NA Zallo, ...","Neuroscience & Biobehavioral Reviews","84, 63-71",104,2018,"1456645324585370528","4TOpqqG69KYC","K6X2YpAAAAAJ&hl=en&oi=sra"
"frontobasal gray matter loss is associated with the trem2 p  r47h variant","EO Luis, S Ortega-Cubero, I Lamet, C Razquin, C Cruchaga, BA Benitez, ...","Neurobiology of aging","35 (12), 2681-2690",36,2014,"6372344287999929665","u5HHmVD_uO8C","K6X2YpAAAAAJ&hl=en&oi=sra"
"successful working memory processes and cerebellum in an elderly sample  a neuropsychological and fmri study","EO Luis, G Arrondo, M Vidorreta, M Martínez, F Loayza, ...","PloS one","10 (7), e0131536",33,2015,"6201507156818847245","d1gkVwhDpl0C","K6X2YpAAAAAJ&hl=en&oi=sra"
"functional and anatomical basis for brain plasticity in facial palsy rehabilitation using the masseteric nerve","J Buendia, FR Loayza, EO Luis, M Celorrio, MA Pastor, B Hontanilla","Journal of Plastic, Reconstructive & Aesthetic Surgery","69 (3), 417-426",25,2016,"9071294922585950713","qjMakFHDy7sC","K6X2YpAAAAAJ&hl=en&oi=sra"
"an amygdala cingulate network underpins changes in effort based decision making after a fitness program","J Bernacer, I Martinez-Valbuena, M Martinez, N Pujol, EO Luis, ...","NeuroImage","203, 116181",18,2019,"17621601592324065892","dhFuZR0502QC","K6X2YpAAAAAJ&hl=en&oi=sra"
"risk of poisoning in children and adolescents with adhd  a systematic review and meta analysis","M Ruiz-Goikoetxea, S Cortese, S Magallon, M Aznárez-Sanado, ...","Scientific reports","8 (1), 1-12",17,2018,"13437105404662525054","4DMP91E08xMC","K6X2YpAAAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","","Nature Human Behaviour","",16,2021,"1378911620228167506","TQgYirikUcIC","K6X2YpAAAAAJ&hl=en&oi=sra"
"different responses to stress  health practices  and self care during covid 19 lockdown  a stratified analysis","E Bermejo-Martins, EO Luis, A Sarrionandia, M Martínez, MS Garcés, ...","International Journal of Environmental Research and Public Health","18 (5), 2253",12,2021,"16143551810251588836","hFOr9nPyWt4C","K6X2YpAAAAAJ&hl=en&oi=sra"
"mri compatible device for examining brain activation related to stepping","M Martínez, F Villagra, F Loayza, M Vidorreta, G Arrondo, E Luis, J Dı, ...","IEEE Transactions on Medical Imaging","33 (5), 1044-1053",12,2014,"15932096468153999544","u-x6o8ySG0sC","K6X2YpAAAAAJ&hl=en&oi=sra"
"risk of unintentional injuries in children and adolescents with adhd and the impact of adhd medications  protocol for a systematic review and meta analysis","M Ruiz-Goikoetxea, S Cortese, M Aznarez-Sanado, S Magallon, EO Luis, ...","BMJ open","7 (9), e018027",11,2017,"11291094548742964190","Zph67rFs4hoC","K6X2YpAAAAAJ&hl=en&oi=sra"
"brain correlates of the intrinsic subjective cost of effort in sedentary volunteers","J Bernacer, I Martinez-Valbuena, M Martinez, N Pujol, E Luis, ...","Progress in brain research","229, 103-123",11,2016,"4008451121835540988","eQOLeE2rZwMC","K6X2YpAAAAAJ&hl=en&oi=sra"
"the role of emotional intelligence and self care in the stress perception during covid 19 outbreak  an intercultural moderated mediation analysis","E Bermejo-Martins, EO Luis, P Fernández-Berrocal, M Martínez, ...","Personality and Individual Differences","177, 110679",10,2021,"5398817227987641363","-f6ydRqryjwC","K6X2YpAAAAAJ&hl=en&oi=sra"
"a global experiment on motivating social distancing during the covid 19 pandemic","N Legate, TT Nguyen, N Weinstein, AC Moller, L Legault, MR Maniaci, ...","","",8,2021,"9460422159397258094","R3hNpaxXUhUC","K6X2YpAAAAAJ&hl=en&oi=sra"
"trade off between frequency and precision during stepping movements  kinematic and bold brain activation patterns","M Martínez, M Valencia, M Vidorreta, EO Luis, G Castellanos, F Villagra, ...","Human brain mapping","37 (5), 1722-1737",8,2016,"16290349369499285749","UeHWp8X0CEIC","K6X2YpAAAAAJ&hl=en&oi=sra"
"neuroimaging correlates of frontotemporal dementia associated with sqstm1 mutations","E Luis, A Ortiz, L Eudave, S Ortega-Cubero, B Borroni, J Van Der Zee, ...","Journal of Alzheimer's Disease","53 (1), 303-313",8,2016,"5967628720577440892","2osOgNQ5qMEC","K6X2YpAAAAAJ&hl=en&oi=sra"
"validity and reliability of the self care activities screening scale  sass 14  during covid 19 lockdown","M Martínez, EO Luis, EY Oliveros, P Fernández-Berrocal, A Sarrionandia, ...","Health and Quality of Life Outcomes","19 (1), 1-12",7,2021,"8917417303387669904","IWHjjKOFINEC","K6X2YpAAAAAJ&hl=en&oi=sra"
"neural correlates of effort based behavioral inconsistency","J Bernacer, I Martinez-Valbuena, M Martinez, N Pujol, E Luis, ...","Cortex","113, 96-110",4,2019,"688967160886311402","9ZlFYXVOiuMC","K6X2YpAAAAAJ&hl=en&oi=sra"
"motor sequence learning in the elderly  differential activity patterns as a function of hand modality","L Eudave, M Aznárez-Sanado, EO Luis, M Martínez, ...","Brain Imaging and Behavior","11 (4), 986-997",4,2017,"18151872594548250470","WF5omc3nYNoC","K6X2YpAAAAAJ&hl=en&oi=sra"
"default mode network dynamics are restricted during high speed discrimination in healthy aging  associations with neurocognitive status and simulated driving behavior","L Eudave, M Martínez, EO Luis, MA Pastor","Human brain mapping","39 (11), 4196-4212",3,2018,"18409405387536091611","mVmsd5A6BfQC","K6X2YpAAAAAJ&hl=en&oi=sra"
"emotional education for personal growth in the early years ","JV Oron, S Navarro-Rubio, EO Luis","Journal of Theoretical and Philosophical Psychology","41 (2), 115",2,2021,"10304999323397977830,10536815910172779806","ZeXyd9-uunAC","K6X2YpAAAAAJ&hl=en&oi=sra"
"relationship between self care activities  stress and well being during covid 19 lockdown  a cross cultural mediation model","E Luis, E Bermejo-Martins, M Martinez, A Sarrionandia, C Cortes, ...","BMJ open","11 (12), e048469",1,2021,"13305360923501605551","_Qo2XoVZTnwC","K6X2YpAAAAAJ&hl=en&oi=sra"
"the interprocessual self theory in support of human neuroscience studies","EO Luis, K Akrivou, E Bermejo-Martins, G Scalzo, JV Orón","Frontiers in Psychology","12",0,2022,NA,"4JMBOYKVnBMC","K6X2YpAAAAAJ&hl=en&oi=sra"
"the motor inhibitory network in patients with asymmetrical parkinson s disease  an fmri study","FR Loayza, I Obeso, RG Redondo, F Villagra, E Luis, JA Obeso, ...","Brain Imaging and Behavior","1-13",0,2022,NA,"r0BpntZqJG4C","K6X2YpAAAAAJ&hl=en&oi=sra"
"brain ventricular enlargement in human and murine acute intermittent porphyria","D Jericó, EO Luis, L Cussó, MA Fernández-Seara, X Morales, ...","Human Molecular Genetics","29 (19), 3211-3223",0,2020,NA,"qUcmZB5y_30C","K6X2YpAAAAAJ&hl=en&oi=sra"
"the right hemisphere inhibitory network in patients with asymmetrical parkinson s disease  an fmri study","F Lazoya, I Obeso, R Gonzales Redondo, F Villagra, E Luis, J Obeso, ...","MOVEMENT DISORDERS","34, S802-S802",0,2019,NA,"7PzlFSSx8tAC","K6X2YpAAAAAJ&hl=en&oi=sra"
"i jornada de experiencias del programa de psicología","EO Luis-Garcia, G Arrondo, S Magallon","","",0,2017,NA,"KlAtU1dfN6UC","K6X2YpAAAAAJ&hl=en&oi=sra"
"función mnésica operativa en la enfermedad de parkinson  estudio neuropsicológico y de neuroimagen con múltiples condiciones y cargas de estimulación","EOL García","Universidad de Navarra","",0,2015,NA,"HDshCWvjkbEC","K6X2YpAAAAAJ&hl=en&oi=sra"
"desarrollo de una aplicación para el reconocimiento automático de placas a partir de la imágen digital de un vehículo","M Martínez, E Luis, B Zapata, J Ronel","","",0,2009,NA,"8k81kl-MbHgC","K6X2YpAAAAAJ&hl=en&oi=sra"
"trade off between frequency and precision during stepping movements  kinematic and bold brain activation patterns trade off between frequency and precision during stepping  ","M Martínez, M Valencia, M Vidorreta, E Luis, G Castellanos, F Villagra, ...","","",0,NA,NA,"iH-uZ7U-co4C","K6X2YpAAAAAJ&hl=en&oi=sra"
"please cite reference above if necessary","J Bernacer, I Martinez-Valbuena1a, M Martinez, N Pujol2b, E Luis, ...","","",0,NA,NA,"L8Ckcad2t8MC","K6X2YpAAAAAJ&hl=en&oi=sra"
"supplementary material risk of poisoning in children and adolescents with adhd  a systematic review and meta analysis ","M Ruiz-Goikoetxea, S Cortese23456, S Magallón, M Aznarez-Sanado, ...","","",0,NA,NA,"Wp0gIr-vW9MC","K6X2YpAAAAAJ&hl=en&oi=sra"
"article title  motor sequence learning in the elderly  differential activity patterns as a function of hand modality","L Eudave, M Aznárez-Sanado, EO Luis, M Martínez, ...","","",0,NA,NA,"qxL8FJ1GzNcC","K6X2YpAAAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","K Wang, A Goldenberg, CA Dorison, JK Miller, A Uusberg, JS Lerner, ...","Nature human behaviour","5 (8), 1089-1110",16,2021,"1378911620228167506","9yKSN-GCB0IC","9nmXnowAAAAJ&hl=en&oi=sra"
"psacr  the psychological science accelerator s covid 19 rapid response project","PS Forscher, B Paris, M Primbs, N Coles","PsyArXiv","",8,2020,"4295182398528800854","2osOgNQ5qMEC","9nmXnowAAAAJ&hl=en&oi=sra"
"pre surgical caregiver burden and anxiety are associated with post surgery cortisol over the day in caregivers of coronary artery bypass graft surgery patients","CS Solorzano, A Steptoe, E Leigh, T Kidd, M Jahangiri, L Poole","International Journal of Behavioral Medicine","1-7",4,2019,"2438303957202308214","u5HHmVD_uO8C","9nmXnowAAAAJ&hl=en&oi=sra"
"the impact of caregiving burden on mental well being in coronary artery bypass graft surgery caregivers  the mediatory role of perceived social support","C Singh Solorzano, E Leigh, A Steptoe, A Ronaldson, T Kidd, M Jahangiri, ...","International Journal of Environmental Research and Public Health","18 (10), 5447",0,2021,NA,"d1gkVwhDpl0C","9nmXnowAAAAJ&hl=en&oi=sra"
"estimating the reproducibility of psychological science","OS Collaboration","Science","349 (6251), 943",7136,2015,"10200793109432081889,2061351576455707408,12702843457742486214","WF5omc3nYNoC","KwhxST8AAAAJ&hl=en&oi=sra"
"many labs 2  investigating variation in replicability across sample and setting","RA Klein, M Vianello, F Hasselman, BG Adams, RB Adams, S Alper, ...","Advances in Methods and Practices of Psychological Science","",611,2018,"2849946872141662267","hC7cP41nSMkC","KwhxST8AAAAJ&hl=en&oi=sra"
"badges to acknowledge open practices  a simple  low cost  effective method for increasing transparency","MC Kidwell, LB Lazarevic, E Baranski, TE Hardwicke, S Piechowski, ...","PLoS Biology","14 (5), e1002456",513,2016,"619152543034918330,12142208620988771797","KlAtU1dfN6UC","KwhxST8AAAAJ&hl=en&oi=sra"
"kama muta  conceptualizing and measuring the experience often labelled being moved across 19 nations and 15 languages ","JH Zickfeld, TW Schubert, B Seibt, JK Blomster, P Arriaga, N Basabe, ...","Emotion","19 (3), 402",92,2019,"61635142504809110","lSLTfruPkqcC","KwhxST8AAAAJ&hl=en&oi=sra"
"crowdsourcing hypothesis tests  making transparent how design choices shape research results ","JF Landy, ML Jia, IL Ding, D Viganola, W Tierney, A Dreber, ...","Psychological Bulletin","146 (5), 451",84,2020,"12586346381331624242","3s1wT3WcHBgC","KwhxST8AAAAJ&hl=en&oi=sra"
"parental burnout around the globe  a 42 country study","I Roskam, J Aguiar, E Akgun, G Arikan, M Artavia, H Avalosse, K Aunola, ...","Affective science","2 (1), 58-79",51,2021,"6004735096002341146","q3oQSFYPqjQC","KwhxST8AAAAJ&hl=en&oi=sra"
"the human penguin project  climate  social integration  and core body temperature","H IJzerman, S Lindenberg, İ Dalğar, SC Weissgerber, RC Vergara, ...","Collabra","",49,2018,"5775377580068979513","mB3voiENLucC","KwhxST8AAAAJ&hl=en&oi=sra"
"antecedents and consequences of covid 19 conspiracy beliefs  a systematic review","V van Mulukom, L Pummerer, S Alper, H Bai, V Cavojova, JEM Farias, ...","Social Science and Medicine","",48,2022,"14919626231825541160,7289488538077544871,15400237858529553795","tS2w5q8j5-wC","KwhxST8AAAAJ&hl=en&oi=sra"
"publishing research with undergraduate students via replication work  the collaborative replications and education project","JR Wagge, MJ Brandt, LB Lazarevic, N Legate, C Christopherson, ...","Frontiers in Psychology","",38,2019,"8679871013246550735","RYcK_YlVTxYC","KwhxST8AAAAJ&hl=en&oi=sra"
"what drives us to be  ir responsible for our health during the covid 19 pandemic  the role of personality  thinking styles and conspiracy mentality","LB Lazarevic, D Purić, P Teovanovic, G Knezevic, P Lukic, Z Zupan","Personality and Individual Differences","176, 110771",37,2021,"7920181277972818086,10636009506433551036","738O_yMBCRsC","KwhxST8AAAAJ&hl=en&oi=sra"
"towards a personality model encompassing a disintegration factor separate from the big five traits  a meta analysis of the empirical evidence","G Knežević, LB Lazarević, M Bosnjak, D Purić, B Petrović, P Teovanović, ...","Personality and Individual Differences","95, 214-222",34,2016,"6288803259621405882","5nxA0vEk-isC","KwhxST8AAAAJ&hl=en&oi=sra"
"many labs 5  testing pre data collection peer review as an intervention to increase replicability","CR Ebersole, MB Mathur, E Baranski, DJ Bart-Plange, NR Buttrick, ...","Advances in Methods and Practices in Psychological Science","3 (3), 309-331",33,2020,"14686432759899728430","p2g8aNsByqUC","KwhxST8AAAAJ&hl=en&oi=sra"
"psychometric evaluation of the serbian dictionary for automatic text analysis liwcser","J Bjekić, LB Lazarević, M Živanović, G Knežević","Psihologija","47 (1), 5-32",32,2014,"15029222434068720801","zYLM7Y9cAGgC","KwhxST8AAAAJ&hl=en&oi=sra"
"on the relation of boredom and sadistic aggression ","S Pfattheicher, LB Lazarević, EC Westgate, S Schindler","Journal of personality and social psychology","",29,2021,"15684014478154144408,9238431359889752543","EUQCXRtRnyEC","KwhxST8AAAAJ&hl=en&oi=sra"
"cross cultural consistency and relativity in the enjoyment of thinking versus doing","NR Buttrick, H Choi, TD Wilson, S Oishi, SM Boker, DT Gilbert, S Alper, ...","Journal of Personality and Social Psychology","",19,2018,"17393685674513515241","JV2RwH3_ST0C","KwhxST8AAAAJ&hl=en&oi=sra"
"implicit association test  theoretical and methodological background","I Žeželj, L Lazarević, M Pavlović","Psihologijske teme","19 (1), 45-69",18,2010,"6003438895811945238,17224337471196508575","d1gkVwhDpl0C","KwhxST8AAAAJ&hl=en&oi=sra"
"does eysenck s personality model capture psychosis proneness  a systematic review and meta analysis","G Knežević, LB Lazarević, D Purić, M Bosnjak, P Teovanović, B Petrović, ...","Personality and Individual Differences","143, 155-164",17,2019,"6149426768180203011","J_g5lzvAfSwC","KwhxST8AAAAJ&hl=en&oi=sra"
"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","K Wang, A Goldenberg, CA Dorison, JK Miller, A Uusberg, JS Lerner, ...","Nature human behaviour","5 (8), 1089-1110",16,2021,"1378911620228167506","VOx2b1Wkg3QC","KwhxST8AAAAJ&hl=en&oi=sra"
"irrational beliefs","I Žeželj, LB Lazarević","Europe's Journal of Psychology","15 (1), 1",16,2019,"15569302605274732488","NaGl4SEjCO4C","KwhxST8AAAAJ&hl=en&oi=sra"
"factor structure of intelligence test battery kog9","LB Lazarević, G Knežević","Psihologija","41 (4), 489-505",16,2008,"11328631139597415300,9514372833377617406","UeHWp8X0CEIC","KwhxST8AAAAJ&hl=en&oi=sra"
"relations between implicit and explicit measures of personality prospects of implicit association test  iat  in assessment of basic personality traits","L Lazarević","Универзитет у Београду","",15,2012,"14303813386237896202,12806935091303717350","_FxGoFyzp5QC","KwhxST8AAAAJ&hl=en&oi=sra"
