"put_code","type","visibility","path","display_index","created_date_value","last_modified_date_value","source_source_client_id","source_assertion_origin_orcid","source_assertion_origin_client_id","source_assertion_origin_name","source_source_orcid_uri","source_source_orcid_path","source_source_orcid_host","source_source_name_value","title_subtitle","title_translated_title","title_title_value","url_value","publication_date_year_value","publication_date_month_value","publication_date_day_value","journal_title_value","journal_title","source_source_orcid","source_source_client_id_uri","source_source_client_id_path","source_source_client_id_host","source_assertion_origin_orcid_uri","source_assertion_origin_orcid_path","source_assertion_origin_orcid_host","source_assertion_origin_name_value","publication_date_day","our_type","publication_date_month","url","title_translated_title_value","title_translated_title_language_code","publication_date","external_ids","ORCID"
20489996,"book","public","/0000-0002-1692-0413/work/20489996","0",2015-11-24,1525707892553,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"imaging studies of reading and reading disability","http://www.scopus.com/inward/record.url?eid=2-s2.0-84943227748&partnerID=MN8TOARS","2015",NA,NA,"Brain Mapping: An Encyclopedic Reference",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"book",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
20489997,"journal-article","public","/0000-0002-1692-0413/work/20489997","0",2015-11-24,1525707892799,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"an investigation into the origin of anatomical differences in dyslexia","http://www.scopus.com/inward/record.url?eid=2-s2.0-84892401500&partnerID=MN8TOARS","2014",NA,NA,"Journal of Neuroscience",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
107495217,"journal-article","public","/0000-0002-1692-0413/work/107495217","0",2022-02-02,1643813030917,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"drugs  the brain  and behavior  a graduate student run comprehensive course in neuroscience ","http://europepmc.org/abstract/med/23503211","2012","03",NA,"Journal of undergraduate neuroscience education : JUNE : a publication of FUN, Faculty for Undergraduate Neuroscience",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
20489998,"journal-article","public","/0000-0002-1692-0413/work/20489998","0",2015-11-24,1525707892178,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"drugs  the brain  and behavior  a graduate student run comprehensive course in neuroscience","http://www.scopus.com/inward/record.url?eid=2-s2.0-84869461504&partnerID=MN8TOARS","2012",NA,NA,"Journal of Undergraduate Neuroscience Education",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
20489999,"journal-article","public","/0000-0002-1692-0413/work/20489999","0",2015-11-24,1525707893027,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"gray matter volume changes following reading intervention in dyslexic children","http://www.scopus.com/inward/record.url?eid=2-s2.0-79959726438&partnerID=MN8TOARS","2011",NA,NA,"NeuroImage",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
20490000,"journal-article","public","/0000-0002-1692-0413/work/20490000","0",2015-11-24,1578693516254,NA,NA,NA,NA,NA,NA,NA,"Scopus - Elsevier",NA,NA,"combined effects of elevated co inf 2  inf  and natural climatic variation on leaf spot diseases of redbud and sweetgum trees","http://www.scopus.com/inward/record.url?eid=2-s2.0-74249121475&partnerID=MN8TOARS","2010",NA,NA,"Environmental Pollution",NA,NA,"https://orcid.org/client/0000-0002-5982-8983","0000-0002-5982-8983","orcid.org","https://orcid.org/0000-0002-1692-0413","0000-0002-1692-0413","orcid.org","Anthony Krafnick",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-1692-0413"
104968732,"journal-article","public","/0000-0002-2539-7011/work/104968732","0",2021-12-17,1639789522945,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"promoting open science  a holistic approach to changing behaviour","https://doi.org/10.1525/collabra.30137","2021","12","17","Collabra: Psychology",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
100006028,"journal-article","public","/0000-0002-2539-7011/work/100006028","0",2021-09-15,1631730170960,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"correction  david et al  effects of transient loss of vision on head and eye movements during visual search in a virtual environment  brain sci  2020  10  841","https://doi.org/10.3390/brainsci11091215","2021","09","15","Brain Sciences",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
100190059,"journal-article","public","/0000-0002-2539-7011/work/100190059","0",2021-09-19,1632096164255,NA,NA,NA,NA,NA,NA,NA,"Multidisciplinary Digital Publishing Institute",NA,NA,"correction  david et al  effects of transient loss of vision on head and eye movements during visual search in a virtual environment   i brain sci   i  2020   i 10  i   841","https://www.mdpi.com/2076-3425/11/9/1215","2021","09",NA,"Brain Sciences",NA,NA,"https://orcid.org/client/APP-WRQOUAK78G5F7GMD","APP-WRQOUAK78G5F7GMD","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
98726081,"journal-article","public","/0000-0002-2539-7011/work/98726081","0",2021-08-20,1629460960365,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic ","http://europepmc.org/abstract/med/34341554","2021","08",NA,"Nature human behaviour",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
98726082,"journal-article","public","/0000-0002-2539-7011/work/98726082","0",2021-08-20,1629460960431,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"the importance of peripheral vision when searching 3d real world scenes  a gaze contingent study in virtual reality ","http://europepmc.org/abstract/med/34251433","2021","07",NA,"Journal of vision",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
98726083,"preprint","public","/0000-0002-2539-7011/work/98726083","0",2021-08-20,1629460960553,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a global experiment on motivating social distancing during the covid 19 pandemic","http://europepmc.org/abstract/PPR/PPR349964","2021","05",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
98726084,"preprint","public","/0000-0002-2539-7011/work/98726084","0",2021-08-20,1629460960673,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"nudging open science","http://europepmc.org/abstract/PPR/PPR321413","2021","04",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
86199956,"journal-article","public","/0000-0002-2539-7011/work/86199956","0",2021-01-04,1609816511246,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"get your guidance going  investigating the activation of spatial priors for efficient search in virtual reality","https://doi.org/10.3390/brainsci11010044","2021","01","04","Brain Sciences",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
83568858,"journal-article","public","/0000-0002-2539-7011/work/83568858","0",2020-11-16,1605598399975,NA,NA,NA,NA,NA,NA,NA,"Multidisciplinary Digital Publishing Institute",NA,NA,"effects of transient loss of vision on head and eye movements during visual search in a virtual environment","https://www.mdpi.com/2076-3425/10/11/841","2020","11",NA,"Brain Sciences",NA,NA,"https://orcid.org/client/APP-WRQOUAK78G5F7GMD","APP-WRQOUAK78G5F7GMD","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
77239861,"journal-article","public","/0000-0002-2539-7011/work/77239861","0",2020-07-14,1594721504347,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"variability in the analysis of a single neuroimaging dataset by many teams ","http://europepmc.org/abstract/med/32483374","2020","05",NA,"Nature",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
98726085,"preprint","public","/0000-0002-2539-7011/work/98726085","0",2021-08-20,1629460960724,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"offene wissenschaft in der zeit von covid 19   eine blaupause für die psychologische forschung ","http://europepmc.org/abstract/PPR/PPR327355","2020","04",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
77239902,"other","public","/0000-0002-2539-7011/work/77239902","0",2020-07-14,1594721525357,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"variability in the analysis of a single neuroimaging dataset by many teams","http://europepmc.org/abstract/PPR/PPR102306","2019","11",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
64790174,"journal-article","public","/0000-0002-2539-7011/work/64790174","1",2019-11-19,1574183533447,NA,NA,NA,NA,"https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,NA,"network models to organize a dispersed literature  the case of misunderstanding analysis of covariance","http://dx.doi.org/10.5334/jeps.458","2018","12","12","Journal of European Psychology Students",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
50886413,"journal-article","public","/0000-0002-2539-7011/work/50886413","0",2018-11-21,1542811605559,NA,NA,NA,NA,NA,NA,NA,"Crossref Metadata Search",NA,NA,"two types of serial dependence in visual working memory",NA,"2018","09","10","British Journal of Psychology",NA,NA,"https://orcid.org/client/0000-0002-3054-1567","0000-0002-3054-1567","orcid.org","https://orcid.org/0000-0002-2539-7011","0000-0002-2539-7011","orcid.org","Julia Beitner",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-2539-7011"
109819371,"preprint","public","/0000-0002-6060-4549/work/109819371","0",2022-03-14,1647270441621,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"market mindset hinders interpersonal trust  the exposure to market relationships makes people trust less through elevated proportional thinking and reduced state empathy","https://doi.org/10.31234/osf.io/4rcys","2022","03","14",NA,NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
106172261,"journal-article","public","/0000-0002-6060-4549/work/106172261","0",2022-01-12,1642001616087,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"leader or leaderess  consequences of using feminatives for the perception of leadership","https://doi.org/10.7172/1733-9758.2021.35.2","2021","12","30","Studia i Materiały Wydziału Zarządzania UW",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98392784,"journal-article","public","/0000-0002-6060-4549/work/98392784","0",2021-08-12,1628774276450,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic ","http://europepmc.org/abstract/med/34341554","2021","08",NA,"Nature human behaviour",NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-6060-4549","0000-0002-6060-4549","orcid.org","Anna O. Kuzminska",NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98392752,"preprint","public","/0000-0002-6060-4549/work/98392752","0",2021-08-12,1628774226946,NA,NA,NA,NA,NA,NA,NA,"Europe PubMed Central",NA,NA,"a global experiment on motivating social distancing during the covid 19 pandemic","http://europepmc.org/abstract/PPR/PPR349964","2021","05",NA,NA,NA,NA,"https://orcid.org/client/0000-0002-9157-3431","0000-0002-9157-3431","orcid.org","https://orcid.org/0000-0002-6060-4549","0000-0002-6060-4549","orcid.org","Anna O. Kuzminska",NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98093159,"journal-article","public","/0000-0002-6060-4549/work/98093159","0",2021-08-05,1628166095785,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"a multi country test of brief reappraisal interventions on emotions during the covid 19 pandemic","https://www.nature.com/articles/s41562-021-01173-x#Bib1","2021",NA,NA,"Nature Human Behaviour",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98093155,"book-chapter","public","/0000-0002-6060-4549/work/98093155","0",2021-08-05,1628166090470,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"decision making in early internationalization  a structured expert judgement approach","http://link.springer.com/content/pdf/10.1007/978-3-030-46474-5_23","2021",NA,NA,"Expert Judgement in Risk and Decision Analysis",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"book-chapter",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
78836743,"journal-article","public","/0000-0002-6060-4549/work/78836743","0",2020-08-14,1614262686172,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"market mindset impacts moral decisions  the exposure to market relationships makes moral choices more utilitarian by means of proportional thinking","https://doi.org/10.1002/ejsp.2701","2020","12","14","European Journal of Social Psychology",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
74413869,"journal-article","public","/0000-0002-6060-4549/work/74413869","0",2020-05-22,1590143653056,NA,NA,NA,NA,NA,NA,NA,"Crossref",NA,NA,"znaczenie dopasowania preferencji kontroli pomiędzy podwładnym i przełożonym dla satysfakcji z pracy pracowników","https://doi.org/10.7172/1733-9758.2018.29.2","2019","12","30","Studia i Materiały Wydziału Zarządzania UW",NA,NA,"https://orcid.org/client/0000-0001-9884-1913","0000-0001-9884-1913","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98093175,"journal-article","public","/0000-0002-6060-4549/work/98093175","0",2021-08-05,1628166118517,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"the impact of control preferences fit between employees and their supervisors on employee job satisfaction",NA,"2018",NA,NA,"STUDIA I MATERIAŁY. WYDZIAŁ ZARZĄDZANIA UNIWERSYTETU WARSZAWSKIEGO",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98092997,"book","public","/0000-0002-6060-4549/work/98092997","0",2021-08-05,1628165700144,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"konsekwencje posiadania władzy i częstego myślenia o pieniądzach",NA,"2019",NA,NA,"Uniwersytet Warszawski",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"book",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98093162,"other","public","/0000-0002-6060-4549/work/98093162","0",2021-08-05,1628166105631,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"management challenges in the era of globalization","http://www.wz.uw.edu.pl/portaleFiles/6133-wydawnictwo-/Management_Challenges_kor5.pdf","2019",NA,NA,NA,NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"open_science_pubs",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98093168,"book-chapter","public","/0000-0002-6060-4549/work/98093168","0",2021-08-05,1628166110509,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"who  doesn t  want  to  share  leadership    the  role  of  personality   control  preferences   and  political  orientation   in  preferences  for  shared  vs   focused  leadership  in  teams","http://www.wz.uw.edu.pl/portaleFiles/6133-wydawnictwo-/Management_Challenges_kor5.pdf","2019",NA,NA,"Management Challenges in the Era of Globalization",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"book-chapter",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
89982872,"journal-article","public","/0000-0002-6060-4549/work/89982872","0",2021-03-04,1614914492240,NA,NA,NA,NA,NA,NA,NA,"Publons",NA,NA,"the effect of overflow at workplace on employees productivity and well being","https://publons.com/publon/41041769/","2018",NA,NA,"Economic and Social Development",NA,NA,"https://orcid.org/client/APP-1DSJAQCZ1PW1VN5X","APP-1DSJAQCZ1PW1VN5X","orcid.org",NA,NA,NA,NA,NA,"journal-article",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
98092999,"conference-paper","public","/0000-0002-6060-4549/work/98092999","0",2021-08-05,1628165704404,NA,NA,NA,NA,NA,NA,NA,"National Information Processing Institute ",NA,NA,"the effect of overflow at workplace on employees productivity and being",NA,"2018",NA,NA,"33rd International Scientific Conference on Economic and Social Development – ""Managerial Issues in Modern Business""",NA,NA,"https://orcid.org/client/APP-GJC5MBEVXD14ERQ4","APP-GJC5MBEVXD14ERQ4","orcid.org",NA,NA,NA,NA,NA,"conference-paper",NA,NA,NA,NA,NA,NA,"0000-0002-6060-4549"
